Account name,Account website
Black Isle Capital Partners,https://blackislecp.com
The Beck Group Ltd,https://www.the-beck-group.com/beckaboutus..htm
Stonington Capital Advisors,https://stoningtoncapital.com
KPG Capital Partners,https://www.kpgcapitalpartners.com
"Capital Investment Marketing, Inc.",http://www.Cap-Invest-Marketing.co
Sophic Capital Inc.,https://sophiccapital.com/about-us/
Jemini Capital,https://www.jeminicapital.com/team-2/
Capitalaxōn,https://capitalaxon.com
Raisman Investor Relations & Consulting,https://raisman.uk
FIRSTavenue,https://www.firstavenue.com
Frontier Business Advisory Limited,https://www.jamaicaobserver.com/2025/02/05/frontier-business-advisory/
Brand Iron,https://brandiron.net
"Touchstone Group, LLC",https://touchstonegroupllc.com/team/
New Harbor Venture Partners,https://www.newharborvp.com/about/
Acuity Advisors,https://www.acuityadvisors.com
CrossBay Capital Partners,https://crossbaycapital.com
Aditum Group,https://www.aditumgroup.com/about-us
"Hall & Evans, LLC",https://www.yahoo.com
Worthwhile Capital Partners,https://www.worthwhilecap.com
Worldview Capital Inc,https://www.worldview.capital/about-3
Thrive Alternatives,https://www.thrivealts.com
Troy Investment Advisors,https://www.troyinvestmentadvisors.com
Stanwich Advisors,https://www.firstavenue.com
MCAM Group,https://www.mcamgroup.com/about
Crito Capital,https://www.critocapital.com
Praxess,https://praxess.com
Blue Titan Capital,https://bluetitancapital.com
Selinus Capital GmbH,https://www.selinus-capital.com
Atlantic‑Pacific Capital,https://www.apcap.com
J. Charles Assets,https://jcharlesassets.com
Mvision,https://mvision.ai/about/
FirstPoint Equity,https://www.firstpointequity.com
Elm Capital Associates Ltd,https://www.elmcapital.com
Allegro Advisors,https://www.allegrocompanies.com
Miles Capital Partners,https://probitaspartners.com
Absolute Global Partners LLC,https://www.absolute-gp.com/the-team
Smart Crowdfunding,https://www.yahoo.com
PIEXTON CAPITAL,https://www.piexton-capital.com
Spike Capital,https://www.spikecapital.io
"Talonvest Capital, Inc.",https://talonvest.com
Fidus Invest,http://www.fidusinvest.com.br/fidus-en/
Probitas Partners,https://probitaspartners.com
Langschiff Capital Partners,https://langschiff.com
E.L.K. Capital Advisors,https://elkcapitaladvisors.com
AGW Capital Advisors,https://www.agwcapital.com
Spartan Advisors LLC,https://www.spartanadvisorsllc.com
"10 || 2 Capital Partners, LLC",https://102capital.com
Alpine Capital Advisors,https://www.alpineca.com
Sherwood Capital Management Corp.,https://www.yahoo.com
Juno Finance,https://www.junofinance.com
Capstone Partners LP,https://www.capstonepartnerslp.com
Asante Capital Group,https://www.asantecapital.com
Monument Group,https://www.monumentgroup.com
"Compass International Advisors, LLC",http://compassintladv.com
StartupFundraising.com,http://StartupFundraising.com
Acalyx Advisors,https://www.acalyx.com
Athos Partners,https://athospartners.com
Rede Partners,https://www.rede-partners.com
Opus Strategic Advisors,https://opusllp.com/strategicadvisors/
Springforth Capital Advisors,https://www.yahoo.com
Capstone Partners,https://www.capstonepartners.com
Campbell Lutyens,https://campbell-lutyens.com
Triago,https://hl.com/about-us/newsroom/in-major-expansion-of-private-funds-group-houlihan-lokey-creates-best-in-class-private-capital-advisory-platform-with-acquisition-of-triago/
DC Placement Advisors,https://dcpla.com
FocusPoint Private Capital Group,https://www.absolute-gp.com
Harbor Access Investor Relations,https://www.harbor-access.com
GSG Partners Inc.,https://www.apcap.com
Access Global Group,https://www.elegrancapital.com
Eaton Partners,https://www.eaton-partners.com
KMR Capital,https://kmrcapital.com
PJT Park Hill,https://www.pjtpartners.com
Evercore,https://www.evercore.com/our-business-and-capabilities/investment-banking/private-capital-advisory-fundraising/
"Capital Formation Counselors, Inc.",https://www.cfcinc.com
Hestia Insight Inc.,https://www.privateequitymarketeer.com/placement-agents
Relevant EquityWorks,https://www.relevant.us
Lazard Private Fund Advisory,https://www.lazard.com/financial-advisory/capital-markets-advisory/
UBS Private Funds Group,https://www.ubs.com/microsites/private-funds-group/en/home.html
"Threadmark LLP; Denning & Company, LLC; Acanthus Advisers LLP; Axonia Partners GmbH; Probitas Partners; Triago; Setter Capital Inc.; Monument Group, Inc.; Atlantic-Pacific Capital, Inc.; FocusPoint Private Capital Group; Stanwich Advisors, LLC; FIRSTavenue Partners LLP",https://aizoh.capital
LWR Consulting,https://www.lwrconsulting.co.uk
Platypus Partners,https://www.yahoo.com
TopCap Partners,https://www.yahoo.com
Colmar Capital,https://www.yahoo.com
Denning & Company,https://www.denningandcompany.com
Mercury Capital Advisors,https://www.mercurycapitaladvisors.com
